UniProtKB_ac	n_resid	mean_pLDDT	has_catalytic_activity	has_EC	has_activity	autosite_score	autosite_score_50	autosite_score_70	autosite_score_90	autosite_score_95
A4IF30	521	66.84	False	False	False	83.96	83.96	83.96	28.10	0.00
A4QMS7	147	74.96	False	False	False	48.36	48.36	48.36	0.00	0.00
A4QN01	128	51.86	False	False	False	55.94	53.73	0.00	0.00	0.00
A5D6W6	292	85.63	False	False	False	47.09	47.09	47.09	31.79	0.00
A5D8W1	941	85.07	False	False	False	61.53	61.53	61.53	49.15	38.01
A5PLK6	1076	66.34	False	False	False	60.34	60.34	60.34	44.34	0.00
A5PLL7	270	90.76	CATALYTIC ACTIVITY: [Plasmanylethanolamine desaturase]: Reaction=1-(1,2-saturated alkyl)-2-acyl-sn-glycero-3-   phosphoethanolamine + 2 [Fe(II)-cytochrome b5] + 2 H(+) + O2 = 1-O-   (1Z-alkenyl)-2-acyl-sn-glycero-3-phosphoethanolamine + 2 [Fe(III)-   cytochrome b5] + 2 H2O; Xref=Rhea:RHEA:22956, Rhea:RHEA-COMP:10438,   Rhea:RHEA-COMP:10439, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378,   ChEBI:CHEBI:15379, ChEBI:CHEBI:29033, ChEBI:CHEBI:29034,   ChEBI:CHEBI:75028, ChEBI:CHEBI:77290; EC=1.14.19.77;   Evidence={ECO:0000269|PubMed:31604315, ECO:0000269|PubMed:32209662}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:22957;   Evidence={ECO:0000269|PubMed:31604315};	RecName: Full=Plasmanylethanolamine desaturase {ECO:0000303|PubMed:31604315, ECO:0000303|PubMed:32209662}; EC=1.14.19.77 {ECO:0000269|PubMed:31604315, ECO:0000269|PubMed:32209662}; AltName: Full=Plasmanylethanolamine desaturase 1 {ECO:0000312|HGNC:HGNC:16735}; AltName: Full=Transmembrane protein 189;	True	69.06	69.06	69.06	69.06	29.79
A5PLN9	417	86.84	False	False	False	51.29	51.29	51.29	37.35	0.00
A5YM69	484	44.73	False	False	False	31.84	0.00	0.00	0.00	0.00
A6H8Z2	402	63.65	False	False	False	63.92	63.92	63.92	36.50	31.62
A6NC51	233	92.84	False	False	False	50.27	50.27	50.27	50.27	50.27
A6NC62	111	49.19	False	False	False	26.84	21.83	20.48	0.00	0.00
A6NC86	204	90.64	False	False	False	41.45	41.45	41.45	41.45	41.35
A6NC97	362	85.26	False	False	False	48.64	48.64	48.64	38.28	38.28
A6NCI5	91	46.66	False	False	False	35.53	0.00	0.00	0.00	0.00
A6NCI8	922	42.29	False	False	False	25.58	25.01	25.01	0.00	0.00
A6NCJ1	209	43.52	False	False	False	85.93	37.72	0.00	0.00	0.00
A6NCL2	159	83.89	False	False	False	37.09	37.09	37.09	28.27	0.00
A6NCQ9	220	61.80	False	False	False	46.02	46.02	29.34	0.00	0.00
A6NCS6	295	64.59	False	False	False	45.33	45.33	39.27	25.14	21.50
A6NDD5	238	55.69	False	False	False	44.89	44.89	0.00	0.00	0.00
A6NDE8	117	63.47	False	False	False	0.00	0.00	0.00	0.00	0.00
A6NDU8	294	85.75	False	False	False	57.31	57.31	50.19	35.09	31.50
A6NDV4	472	80.62	False	False	False	62.74	62.74	62.74	38.81	0.00
A6NDX4	124	45.58	False	False	False	64.49	0.00	0.00	0.00	0.00
A6NDY2	464	49.86	False	False	False	52.37	52.37	52.37	0.00	0.00
A6NE21	464	49.57	False	False	False	47.50	47.50	47.50	0.00	0.00
A6NE52	1622	62.95	False	False	False	172.48	172.48	166.10	27.13	0.00
A6NEH8	195	48.03	False	False	False	29.12	29.12	29.12	0.00	0.00
A6NEN9	183	82.51	False	False	False	40.80	40.80	40.80	40.80	35.98
A6NER3	117	64.07	False	False	False	22.30	22.30	22.30	0.00	0.00
A6NES4	1674	79.79	False	False	False	65.60	65.60	51.79	27.80	0.00
A6NEV1	266	57.63	False	False	False	41.67	41.67	32.38	0.00	0.00
A6NEW6	464	49.84	False	False	False	39.70	39.70	39.70	0.00	0.00
A6NF01	834	45.36	False	False	False	25.63	25.63	25.63	0.00	0.00
A6NF83	97	71.98	False	False	False	42.97	42.97	36.87	0.00	0.00
A6NFA1	517	69.14	False	RecName: Full=Metalloprotease TIKI2; EC=3.4.-.-; AltName: Full=Heart, kidney and adipose-enriched transmembrane protein homolog; AltName: Full=TRAB domain-containing protein 2B; Flags: Precursor;	True	154.77	154.77	154.77	35.92	30.90
A6NFC5	223	80.51	False	False	False	36.03	36.03	36.03	36.03	22.93
A6NFE2	343	58.94	False	False	False	43.15	43.15	26.12	0.00	0.00
A6NFE3	127	83.55	False	False	False	39.00	39.00	39.00	22.00	0.00
A6NFU0	413	82.85	False	False	False	50.39	50.39	50.39	49.30	0.00
A6NFY4	417	80.25	False	False	False	65.74	65.74	65.74	27.00	0.00
A6NG13	374	85.68	False	False	False	50.69	50.69	50.69	36.16	25.84
A6NGA9	273	73.36	False	False	False	38.70	38.70	38.70	25.03	0.00
A6NGB7	291	68.41	False	False	False	47.86	47.86	42.63	24.00	0.00
A6NGB9	483	59.70	False	False	False	33.59	33.59	31.63	0.00	0.00
A6NGC4	264	86.44	False	False	False	53.59	53.59	53.59	53.59	38.60
A6NGG3	77	50.81	False	False	False	46.04	0.00	0.00	0.00	0.00
A6NGK3	116	64.94	False	False	False	21.53	21.53	21.53	0.00	0.00
A6NGR9	719	74.65	False	False	False	66.78	66.78	66.78	32.60	31.11
A6NGU7	62	58.09	False	False	False	24.82	24.82	0.00	0.00	0.00
A6NGW2	1772	66.49	False	False	False	87.38	87.23	85.30	35.55	0.00
A6NGY1	282	59.48	False	False	False	35.31	35.31	35.31	0.00	0.00
A6NGZ8	99	67.42	False	False	False	34.21	34.21	34.21	0.00	0.00
A6NH13	148	48.11	False	False	False	24.86	23.39	0.00	0.00	0.00
A6NH52	213	79.53	False	False	False	43.96	43.96	43.96	26.01	0.00
A6NHN6	443	50.72	False	False	False	38.64	38.64	22.25	0.00	0.00
A6NHP3	402	60.75	False	False	False	78.34	78.34	60.32	32.76	0.00
A6NHQ4	379	57.88	False	False	False	44.52	44.52	44.52	0.00	0.00
A6NHS1	94	66.50	False	False	False	31.19	31.19	31.19	0.00	0.00
A6NHS7	340	62.40	False	False	False	60.02	60.02	60.02	36.70	21.06
A6NI61	221	90.61	False	False	False	49.67	49.67	49.67	49.67	31.44
A6NI87	242	66.46	False	False	False	36.82	36.82	36.82	20.41	20.41
A6NIE6	340	74.22	False	False	False	37.80	37.80	36.02	30.05	22.18
A6NIJ5	464	49.76	False	False	False	48.16	41.16	41.16	22.90	0.00
A6NIN4	190	69.30	False	False	False	41.13	41.13	29.79	24.51	0.00
A6NIU2	74	65.57	False	False	False	25.20	25.20	0.00	0.00	0.00
A6NIX2	430	63.80	False	False	False	33.48	33.48	33.48	26.75	0.00
A6NJ69	53	47.18	False	False	False	31.88	29.55	0.00	0.00	0.00
A6NJI1	115	64.81	False	False	False	22.47	22.47	0.00	0.00	0.00
A6NJJ6	358	71.69	False	False	False	51.32	51.32	51.32	39.91	27.07
A6NJQ4	464	49.71	False	False	False	36.94	36.94	36.94	0.00	0.00
A6NJT0	531	57.62	False	False	False	40.05	40.05	31.80	31.80	25.17
A6NJV1	201	80.68	False	False	False	48.88	48.88	48.88	23.02	23.02
A6NKB5	2137	56.50	False	False	False	86.15	86.15	86.15	30.22	0.00
A6NKC0	464	50.36	False	False	False	52.68	52.68	52.68	0.00	0.00
A6NKC9	451	55.27	False	False	False	37.75	37.75	37.75	24.15	0.00
A6NKF7	163	66.36	False	False	False	27.70	27.70	26.37	0.00	0.00
A6NKX1	122	33.58	False	False	False	36.06	0.00	0.00	0.00	0.00
A6NL46	340	53.96	False	False	False	24.65	24.65	21.54	0.00	0.00
A6NL82	134	79.80	False	False	False	29.81	29.81	29.35	21.11	0.00
A6NLC5	250	53.23	False	False	False	66.47	66.47	0.00	0.00	0.00
A6NLU5	285	67.34	False	False	False	44.03	44.03	44.03	22.35	22.35
A6NLX4	147	62.51	False	False	False	43.33	43.33	43.33	0.00	0.00
A6NM66	108	39.73	False	False	False	76.38	0.00	0.00	0.00	0.00
A6NMD0	228	54.90	False	False	False	35.06	35.06	24.19	0.00	0.00
A6NML5	194	73.93	False	False	False	48.38	48.38	29.06	0.00	0.00
A6NMN3	283	61.90	False	False	False	56.22	56.22	56.22	26.50	26.50
A6NN06	94	54.54	False	False	False	0.00	0.00	0.00	0.00	0.00
A6NN90	582	51.18	False	False	False	60.40	60.40	60.40	0.00	0.00
